   H I           ,	3970.078
  Ti I  	,	4836.122
  Ti I  	,	4837.396
  Ti I  	,	4839.252
  Ti I  	,	4840.873
  Ti I  	,	4842.599
  Ti I  	,	4844.855
  Ti I  	,	4846.828
  Ti I  	,	4848.477
  Ti I  	,	4851.358
  Ti I  	,	4854.737
  Ti I  	,	4856.010
  Ti I  	,	4864.175
  Ti I  	,	4868.260
  Ti I  	,	4870.127
  Ti I  	,	4880.285
  Ti I  	,	4880.907
  Ti I  	,	4882.325
  Ti I  	,	4885.081
  Ti I  	,	4889.825
  Ti I  	,	4891.854
  Ti I  	,	4893.052
  Ti I  	,	4893.409
  Ti I  	,	4893.891
  Ti I  	,	4899.909
  Ti I  	,	4900.584
  Ti I  	,	4903.737
  Ti I  	,	4908.449
  Ti I  	,	4909.098
  Ti I  	,	4913.615
  Ti I  	,	4915.230
  Ti I  	,	4919.861
  Ti I  	,	4921.765
  Ti I  	,	4925.400
  Ti I  	,	4926.151
  Ti I  	,	4928.336
  Ti I  	,	4928.895
  Ti I  	,	4937.727
  Ti I  	,	4938.291
  Ti I  	,	4940.969
  Ti I  	,	4941.306
  Ti I  	,	4941.569
  Ti I  	,	4943.067
  Ti I  	,	4947.971
  Ti I  	,	4948.189
  Ti I  	,	4958.277
  Ti I  	,	4964.716
  Ti I  	,	4967.299
  Ti I  	,	4968.568
  Ti I  	,	4975.342
  Ti I  	,	4977.728
  Ti I  	,	4978.187
