line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A] 
   343             15                  79           3369.816307     7691.770605     7693.887662 
   344             15                  79           3490.316753     7685.307498     7687.422808 
   345             15                  79           3655.778304     7676.219503     7678.332360 
   346             15                  79           3765.067274     7670.056955     7672.168133 
   347             16                  80             64.022660     7728.950948     7731.078038 
   348             16                  80            551.201813     7713.937717     7716.060754 
   349             16                  80            663.214479     7710.269186     7712.391234 
   350             16                  80            825.553210     7704.816383     7706.936941 
   351             16                  80            858.284841     7703.684970     7705.805240 
   352             16                  80            932.791753     7701.108035     7703.227610 
   353             16                  80           1194.124125     7691.770605     7693.887662 
   354             16                  80           1367.978111     7685.307498     7687.422808 
   355             16                  80           1428.315701     7683.018869     7685.133561 
   356             16                  80           1603.762810     7676.219503     7678.332360 
   357             16                  80           1707.935837     7672.255125     7674.366912 
   358             16                  80           1757.051576     7670.056955     7672.168133 
   359             16                  80           1785.481746     7668.960731     7671.071629 
   360             16                  80           1841.922274     7666.567883     7668.678135 
   361             16                  80           1981.086123     7660.890300     7662.999020 
   362             16                  80           2001.672878     7660.023374     7662.131859 
   363             16                  80           2126.839578     7654.699741     7656.806790 
   364             16                  80           2147.101603     7653.828355     7655.935169 
   365             16                  80           2181.968646     7652.320117     7654.426524 
   366             16                  80           2195.307257     7651.745077     7653.851328 
   367             16                  80           2212.403443     7651.000546     7653.106596 
   368             16                  80           2294.897074     7647.379393     7649.484466 
   369             16                  80           2696.117936     7628.881301     7630.981369 
   370             16                  80           2736.254723     7627.174830     7629.274451 
   371             16                  80           2767.146218     7625.705231     7627.804455 
   372             16                  80           2811.808377     7623.568225     7625.666872 
   373             16                  80           2884.113859     7620.077241     7622.174947 
   374             16                  80           2915.808970     7618.343787     7620.441013 
   375             16                  80           2953.531073     7616.682707     7618.779496 
   376             16                  80           3131.440973     7607.823001     7609.917400 
   377             16                  80           3213.962615     7603.624269     7605.717534 
   378             16                  80           3318.886883     7598.205405     7600.297208 
   379             16                  80           3481.304546     7589.315033     7591.404438 
   380             17                  81            225.053165     7628.881301     7630.981369 
   381             17                  81            279.091123     7627.174830     7629.274451 
   382             17                  81            327.453550     7625.705231     7627.804455 
   383             17                  81            508.216397     7620.077241     7622.174947 
   384             17                  81            557.000000     7618.343787     7620.441013 
   385             17                  81            880.417571     7607.823001     7609.917400 
   386             17                  81           1002.064988     7603.624269     7605.717534 
   387             17                  81           1155.120799     7598.205405     7600.297208 
   388             17                  81           1398.491179     7589.315033     7591.404438 
   389             17                  81           1622.937096     7580.690427     7582.777504 
   390             17                  81           1631.642779     7580.345947     7582.432931 
   391             17                  81           1808.257678     7573.343696     7575.428791 
   392             17                  81           1868.330667     7571.032553     7573.117025 
   393             17                  81           1975.057664     7566.529606     7568.612863 
   394             17                  81           1991.412874     7565.851494     7567.934567 
   395             17                  81           2183.458738     7557.749443     7559.830330 
   396             17                  81           2239.331070     7555.325385     7557.405619 
   397             17                  81           2377.123908     7549.313767     7551.392379 
   398             17                  81           2635.234613     7537.428637     7539.504042 
   399             17                  81           2760.521440     7531.814727     7533.888618 
   400             17                  81           2774.731044     7531.143674     7533.217383 
   401             17                  81           2830.831997     7528.489172     7530.562165 
   402             17                  81           2858.664020     7527.348320     7529.421006 
   403             17                  81           2893.095217     7525.507848     7527.580037 
   404             17                  81           2942.330916     7523.134713     7525.206262 
   405             17                  81           3180.816723     7511.349807     7513.418176 
   406             17                  81           3202.417073     7510.407726     7512.475837 
   407             17                  81           3237.605863     7508.478695     7510.546290 
   408             17                  81           3627.539481     7487.973811     7490.035874 
   409             17                  81           3697.339607     7484.326163     7486.387240 
   410             17                  81           3708.367723     7483.625560     7485.686451 
   411             17                  81           3749.595834     7481.354454     7483.414732 
   412             17                  81           3934.647547     7471.163605     7473.221132 
   413             18                  82            379.199842     7531.143674     7533.217383 
   414             18                  82            560.429851     7525.507848     7527.580037 
   415             18                  82            634.782634     7523.134713     7525.206262 
   416             18                  82            988.844902     7511.349807     7513.418176 
   417             18                  82           1020.231832     7510.407726     7512.475837 
   418             18                  82           1071.601716     7508.478695     7510.546290 
   419             18                  82           1293.193519     7500.655100     7502.720580 
   420             18                  82           1336.287879     7499.002420     7501.067458 
   421             18                  82           1627.955461     7487.973811     7490.035874 
   422             18                  82           1725.686614     7484.326163     7486.387240 
   423             18                  82           1740.938586     7483.625560     7485.686451 
   424             18                  82           1798.382371     7481.354454     7483.414732 
   425             18                  82           2047.940242     7471.163605     7473.221132 
   426             18                  82           2269.489556     7461.874566     7463.929590 
   427             18                  82           2422.550102     7455.208017     7457.261243 
   428             18                  82           2587.412739     7447.848797     7449.900037 
   429             18                  82           2661.255568     7444.748861     7446.799266 
   430             18                  82           2747.920478     7440.492849     7442.542105 
   431             18                  82           2838.969243     7436.296460     7438.344585 
   432             18                  82           2859.319516     7435.367797     7437.415672 
   433             18                  82           2964.580704     7430.253226     7432.299721 
   434             18                  82           2991.817357     7428.940503     7430.986644 
   435             18                  82           3067.658462     7425.293650     7427.338809 
   436             18                  82           3127.940735     7422.311318     7424.355672 
   437             18                  82           3203.391512     7418.549859     7420.593197 
   438             18                  82           3218.504403     7417.790792     7419.833925 
   439             18                  82           3323.620675     7412.336357     7414.378021 
   440             18                  82           3686.550338     7393.437669     7395.474235 
   441             18                  82           3923.521250     7380.422908     7382.455964 
   442             19                  83            126.340417     7447.848797     7449.900037 
   443             19                  83            233.487615     7444.748861     7446.799266 
   444             19                  83            376.828946     7440.492849     7442.542105 
   445             19                  83            515.964508     7436.296460     7438.344585 
