 line number   order_number   physical_order_number     pixel       air_ref_wl[A]   vac_ref_wl[A]   air_model_wl[A]   vac_model_wl[A]   air_resid[A]   vac_resid[A] 
   180              7                  71           3438.515023     8554.943992     8557.294268     8554.944316       8557.294589      -0.000324      -0.000321
   181              7                  71           3687.672183     8539.792910     8542.139090     8539.792347       8542.138522       0.000563       0.000568
   182              8                  72            379.174719     8577.276762     8579.633078     8577.276638       8579.632955       0.000124       0.000123
   183              8                  72            497.516928     8573.120489     8575.475681     8573.118537       8575.473729       0.001952       0.001952
   184              8                  72            633.923637     8568.208713     8570.562577     8568.203127       8570.556988       0.005586       0.005589
   185              8                  72            894.648781     8558.446353     8560.797577     8558.439504       8560.790723       0.006849       0.006854
   186              8                  72            984.951161     8554.943992     8557.294268     8554.944193       8557.294467      -0.000201      -0.000199
   187              8                  72           1360.022920     8539.792910     8542.139090     8539.792977       8542.139154      -0.000067      -0.000064
   188              8                  72           1891.303264     8516.554190     8518.894085     8516.551675       8518.891568       0.002515       0.002517
   189              8                  72           2019.527727     8510.623937     8512.962228     8510.622618       8512.960908       0.001319       0.001320
   190              8                  72           2439.487253     8490.305885     8492.638674     8490.306077       8492.638873      -0.000192      -0.000199
   191              8                  72           2798.228033     8471.825985     8474.153784     8471.824480       8474.152279       0.001505       0.001505
   192              8                  72           2913.219271     8465.670502     8467.996638     8465.671895       8467.998030      -0.001393      -0.001392
   193              8                  72           2939.761020     8464.236635     8466.562383     8464.235628       8466.561374       0.001007       0.001009
   194              8                  72           3258.358876     8446.511509     8448.832464     8446.509850       8448.830803       0.001659       0.001661
   195              8                  72           3276.252731     8445.486996     8447.807674     8445.487136       8447.807812      -0.000140      -0.000138
   196              8                  72           3686.227746     8421.225355     8423.539473     8421.224709       8423.538825       0.000646       0.000648
   197              8                  72           3738.740113     8417.998115     8420.311361     8417.998095       8420.311338       0.000020       0.000023
   198              8                  72           3759.315752     8416.726817     8419.039719     8416.726201       8419.039101       0.000616       0.000618
   199              9                  73            202.703754     8465.670502     8467.996638     8465.675480       8468.001616      -0.004978      -0.004978
   200              9                  73            246.017854     8464.236635     8466.562383     8464.238382       8466.564129      -0.001747      -0.001746
   201              9                  73            751.464210     8446.511509     8448.832464     8446.510492       8448.831444       0.001017       0.001020
   202              9                  73            779.195344     8445.486996     8447.807674     8445.486124       8447.806800       0.000872       0.000874
   203              9                  73           1474.670397     8417.998115     8420.311361     8417.999077       8420.312320      -0.000962      -0.000959
   204              9                  73           1504.847955     8416.726817     8419.039719     8416.727196       8419.040095      -0.000379      -0.000376
   205              9                  73           1843.625651     8401.988977     8404.297894     8401.987682       8404.296597       0.001295       0.001297
   206              9                  73           1981.878900     8395.724124     8398.031347     8395.726244       8398.033467      -0.002120      -0.002120
   207              9                  73           2136.821218     8388.536224     8390.841504     8388.536325       8390.841604      -0.000101      -0.000100
   208              9                  73           2167.251363     8387.105285     8389.410178     8387.102595       8389.407487       0.002690       0.002691
   209              9                  73           2196.288191     8385.727941     8388.032462     8385.727836       8388.032356       0.000105       0.000106
   210              9                  73           2217.405980     8384.723465     8387.027714     8384.723901       8387.028150      -0.000436      -0.000436
   211              9                  73           2320.631311     8379.767834     8382.070744     8379.766559       8382.069467       0.001275       0.001277
   212              9                  73           2331.858070     8379.226037     8381.528800     8379.222366       8381.525128       0.003671       0.003672
   213              9                  73           2571.001542     8367.393599     8369.693164     8367.392602       8369.692165       0.000997       0.000999
   214              9                  73           2597.139096     8366.074039     8368.373246     8366.071796       8368.371002       0.002243       0.002244
   215              9                  73           2656.186151     8363.069556     8365.367952     8363.067485       8365.365879       0.002071       0.002073
   216              9                  73           2740.563993     8358.725940     8361.023161     8358.724660       8361.021879       0.001280       0.001282
   217              9                  73           2791.567021     8356.069227     8358.365733     8356.070985       8358.367487      -0.001758      -0.001754
   218              9                  73           3169.725079     8335.706611     8337.997609     8335.705064       8337.996060       0.001547       0.001549
   219              9                  73           3263.699030     8330.449354     8332.738931     8330.449719       8332.739295      -0.000365      -0.000364
   220              9                  73           3431.661594     8320.855356     8323.142339     8320.856372       8323.143355      -0.001016      -0.001016
   221              9                  73           3589.027020     8311.630590     8313.915076     8311.628530       8313.913019       0.002060       0.002057
   222             10                  74            657.920421     8335.706611     8337.997609     8335.706134       8337.997130       0.000477       0.000479
   223             10                  74            803.151160     8330.449354     8332.738931     8330.448928       8332.738503       0.000426       0.000428
   224             10                  74           1058.275701     8320.855356     8323.142339     8320.855761       8323.142742      -0.000405      -0.000403
   225             10                  74           1292.768851     8311.630590     8313.915076     8311.632263       8313.916751      -0.001673      -0.001675
   226             10                  74           1679.710787     8295.549681     8297.829824     8295.549919       8297.830060      -0.000238      -0.000236
   227             10                  74           1749.649955     8292.527120     8294.806446     8292.526933       8294.806257       0.000187       0.000189
   228             10                  74           1843.514386     8288.414222     8290.692437     8288.413244       8290.691457       0.000978       0.000980
   229             10                  74           1981.435285     8282.251114     8284.527662     8282.250161       8284.526709       0.000953       0.000953
   230             10                  74           2112.858818     8276.242961     8278.517886     8276.244727       8278.519652      -0.001766      -0.001766
   231             10                  74           2126.228224     8275.626506     8277.901264     8275.626488       8277.901246       0.000018       0.000018
   232             10                  74           2433.830396     8261.014244     8263.285053     8261.022886       8263.293697      -0.008642      -0.008644
   233             10                  74           2464.749572     8259.510948     8261.781350     8259.514248       8261.784651      -0.003300      -0.003301
   234             10                  74           2584.187662     8253.615523     8255.884332     8253.615340       8255.884148       0.000183       0.000184
   235             10                  74           2608.635677     8252.393524     8254.662002     8252.393836       8254.662314      -0.000312      -0.000312
   236             10                  74           2947.962283     8234.938064     8237.201825     8234.936065       8237.199823       0.001999       0.002002
   237             10                  74           2959.055435     8234.347415     8236.611016     8234.349180       8236.612780      -0.001765      -0.001764
   238             10                  74           3014.379255     8231.406828     8233.669634     8231.406670       8233.669475       0.000158       0.000159
   239             10                  74           3274.325090     8217.226337     8219.485311     8217.226580       8219.485553      -0.000243      -0.000242
   240             10                  74           3329.351257     8214.147185     8216.405327     8214.148295       8216.406437      -0.001110      -0.001110
   241             10                  74           3446.935404     8207.478411     8209.734750     8207.478197       8209.734537       0.000214       0.000213
   242             10                  74           3539.339399     8202.146809     8204.401707     8202.146735       8204.401635       0.000074       0.000072
   243             10                  74           3795.942642     8186.911262     8189.162044     8186.912697       8189.163477      -0.001435      -0.001433
   244             11                  75            459.087352     8231.406828     8233.669634     8231.405690       8233.668494       0.001138       0.001140
   245             11                  75            861.432085     8217.226337     8219.485311     8217.227260       8219.486233      -0.000923      -0.000922
   246             11                  75            944.836447     8214.147185     8216.405327     8214.148412       8216.406553      -0.001227      -0.001226
   247             11                  75           1121.167272     8207.478411     8209.734750     8207.479651       8209.735989      -0.001240      -0.001239
   248             11                  75           1258.164882     8202.146809     8204.401707     8202.148072       8204.402969      -0.001263      -0.001262
   249             11                  75           1351.493751     8198.441996     8200.695893     8198.440203       8200.694098       0.001793       0.001795
   250             11                  75           1537.052823     8190.884825     8193.136680     8190.884475       8193.136328       0.000350       0.000352
   251             11                  75           1632.319219     8186.911262     8189.162044     8186.909752       8189.160531       0.001510       0.001513
   252             11                  75           1859.234680     8177.178768     8179.426919     8177.178223       8179.426374       0.000545       0.000545
   253             11                  75           2026.005449     8169.786443     8172.032596     8169.785921       8172.032075       0.000522       0.000521
   254             11                  75           2099.851601     8166.447668     8168.692919     8166.446744       8168.691996       0.000924       0.000923
   255             11                  75           2172.497130     8163.120952     8165.365305     8163.122015       8165.366369      -0.001063      -0.001064
   256             11                  75           2195.515935     8162.058607     8164.302672     8162.060235       8164.304302      -0.001628      -0.001630
   257             11                  75           2245.752216     8159.727615     8161.971051     8159.729078       8161.972515      -0.001463      -0.001464
   258             11                  75           2457.191241     8149.702097     8151.942823     8149.705903       8151.946631      -0.003806      -0.003808
   259             11                  75           2591.908343     8143.137909     8145.376862     8143.138563       8145.377516      -0.000654      -0.000654
   260             11                  75           2657.236031     8139.903124     8142.141202     8139.902256       8142.140334       0.000868       0.000868
   261             11                  75           2696.580871     8137.936246     8140.173793     8137.936682       8140.174229      -0.000436      -0.000436
   262             11                  75           2864.546401     8129.405086     8131.640328     8129.404682       8131.639923       0.000404       0.000405
   263             11                  75           3515.942365     8094.055396     8096.281104     8094.056898       8096.282591      -0.001502      -0.001487
   264             11                  75           3547.681851     8092.237307     8094.462507     8092.238049       8094.463250      -0.000742      -0.000743
   265             11                  75           3668.649708     8085.218964     8087.442267     8085.219127       8087.442432      -0.000163      -0.000165
   266             11                  75           3829.710469     8075.651782     8077.872500     8075.655173       8077.875888      -0.003391      -0.003388
   267             12                  76            266.073598     8129.405086     8131.640328     8129.405752       8131.640992      -0.000666      -0.000664
   268             12                  76            469.739414     8122.723329     8124.956765     8122.722169       8124.955604       0.001160       0.001161
   269             12                  76           1261.783317     8094.055396     8096.281104     8094.058448       8096.284138      -0.003052      -0.003034
   270             12                  76           1308.375665     8092.237307     8094.462507     8092.237575       8094.462773      -0.000268      -0.000266
   271             12                  76           1484.451383     8085.218964     8087.442267     8085.219126       8087.442428      -0.000162      -0.000161
   272             12                  76           1716.133215     8075.651782     8077.872500     8075.650724       8077.871442       0.001058       0.001058
   273             12                  76           2017.461313     8062.630368     8064.847568     8062.629974       8064.847175       0.000394       0.000393
   274             12                  76           2197.496449     8054.535448     8056.750461     8054.533548       8056.748563       0.001900       0.001898
   275             12                  76           2224.264388     8053.307955     8055.522658     8053.309188       8055.523873      -0.001233      -0.001215
   276             12                  76           2282.056845     8050.647986     8052.861949     8050.647448       8052.861413       0.000538       0.000536
   277             12                  76           2379.176585     8046.116362     8048.329122     8046.117615       8048.330356      -0.001253      -0.001234
   278             12                  76           2565.600445     8037.217764     8039.428121     8037.220241       8039.430578      -0.002477      -0.002457
   279             12                  76           2663.647795     8032.431249     8034.640291     8032.432360       8034.641403      -0.001111      -0.001112
   280             12                  76           2708.830431     8030.200402     8032.408842     8030.200466       8032.408906      -0.000064      -0.000064
